RegionID,CentroidX,CentroidY,CentroidZ,Volume
1,366.77,356.11,174.02,1550
2,443.17,203.46,102.24,6114
4,384.35,140.42,226.27,269754
7,427.32,311.1,225.04,70231
8,423.93,224.45,166.63,24999794
9,431.71,115,152.04,55887
10,371.38,156.12,196.81,161452
12,332.07,279.54,188.18,2007
15,342.79,259.57,133.1,7917
16,480.71,312.65,143.09,388166
17,372.34,155.48,204.21,40685
19,331.88,168.97,122.26,2873
20,559.23,288.53,174.33,2947
21,350.31,257.49,120.58,1169
22,453.28,90.18,176.72,207996
23,440.63,356.75,133,33509
26,361.82,164.69,205.16,102781
27,447.82,217.22,174.55,4807
28,517.68,247.82,202.29,64948
30,328.27,351.71,136.32,1316
31,341.69,133.74,115.47,263656
33,450.64,110.57,200.29,57309
35,333.65,220.3,201.83,2582
36,523.42,254.61,105.35,19524
38,336.56,314.48,135.45,15523
39,343.65,124.3,107.79,127511
41,411.11,88.92,215.46,22868
42,350.57,164.29,205.18,4861
44,351.23,218.59,88,98739
45,415.15,303.9,239.49,4441
47,340,315.82,139.72,1829
48,339.88,142.59,122.67,136145
50,341.44,198.92,172.78,3619
51,350.5,240.63,158.5,76653
52,537.39,265.36,200.88,63140
53,407.34,311.13,245.56,2897
55,339.96,309.55,130.59,6481
56,390.23,320.41,100.34,244104
58,367.1,206.82,197.32,1082192
59,329.07,234.64,158.45,10614
60,526.13,276.49,180.55,8164
61,418.28,313.04,245.58,3646
62,350.31,257.49,120.58,1169
63,352,312.29,145.3,2807
64,366.22,217.43,138.06,9488
66,434.96,261.15,180.29,532
67,341.38,234.93,185.22,1952
68,383.36,172.38,60.7,34455
69,423.54,334.05,242.66,18030
71,340,315.82,139.72,1829
72,342.1,316.27,116.65,1937
74,492.77,143.4,204.8,8670
75,367.1,206.82,197.32,1082192
76,370.97,329.63,251.6,762162
77,404.19,303.25,250.56,2053
79,338,322.75,138.65,513
80,343.15,344.67,134.82,116240
82,416.6,222.88,218.32,10769
83,349.2,392.8,259.71,32218
84,363.11,181.12,85.12,14653
87,335,318.71,141.19,3948
88,357.1,346.85,139.6,43707
90,421.36,241.35,215.18,2763
91,408.45,223.36,250.42,33921
92,534.72,270.16,199.05,26515
93,350.31,257.49,120.58,1169
94,336.11,314.31,134.88,13694
95,480.21,263.31,100.42,248729
96,442.84,274.44,245.21,29129
97,567.13,199.02,185.6,32527
99,417.1,288.67,209.72,34409
100,335.71,305.38,190.4,19173
101,459.41,308.23,233.02,44389
103,340.76,313.12,140.13,1316
104,457.9,247.13,85.68,122371
105,375.01,377.58,224.79,2574
106,395.87,319.79,237.15,2671
107,395.5,129.4,100.51,1205393
110,328.93,318.42,135.76,3265
111,530.64,283.79,131.23,70473
112,455.08,298.14,241.01,1782
113,419.75,82.6,129.58,50468
114,402,360.84,225.11,4243
115,338.37,223.19,210.68,440
117,350.31,257.49,120.58,1169
118,328.16,344.92,152.87,8872
119,465.4,272.89,93.84,55885
120,543.75,288.77,130.05,19264
121,487.32,149.19,204.97,2787
122,393.24,366.1,217.16,41978
123,417.15,259.31,223.38,8061
125,350.31,257.49,120.58,1169
126,336.72,369.44,168.64,8032
127,360.49,259.36,140.45,22904
128,376.11,233.43,195.51,266298
130,328.91,290.63,207.42,14343
131,505.85,291.64,162.69,32173
132,367.9,190.02,92.45,1372
133,329.2,344.41,126.33,6620
135,385.93,346.38,267.92,18293
136,379.34,331.36,252.91,119176
137,337.11,287.91,209.97,14322
138,396.92,207.59,169.52,109608
139,527.13,262.11,199.63,62821
141,343.15,344.67,134.82,116240
143,392.99,367.12,255.86,4109
144,405.91,374.13,103.2,170976
146,371.1,302.39,210.41,169208
147,367.93,245.11,233.44,2489
148,504.42,248.45,104.29,7848
149,332.32,232.54,143.46,32652
151,385.86,202.75,54.05,49797
152,492.18,333.93,128.47,649553
154,338.02,284.63,249.23,16799
155,396.59,195.04,152.35,45686
156,513.72,161.23,172.49,27760
157,337.94,348.65,146.02,42150
158,350.31,257.49,120.58,1169
159,387.81,286.37,71.12,247882
160,393.62,287.33,69.89,96256
161,338.02,284.63,249.23,16799
162,349.45,236.79,228.29,6321
163,533.6,284.43,130.54,19915
165,332.41,273.49,197,40172
167,397.74,258.81,71.49,16759
168,387.81,286.37,71.12,247882
169,338.13,283.64,248.77,15958
170,434.39,197.59,171.88,32807
171,331.23,159.4,80.82,19385
173,356.53,379.81,140.56,13366
175,394.34,270.16,60.51,17207
177,335.69,303.46,258.08,841
178,450.91,230.53,172.87,22618
179,341.69,133.74,115.47,263656
180,510.89,251.69,103.74,28401
181,336.85,293.17,143.67,35759
183,395.2,273.01,66.34,36563
184,381.63,171.93,60.85,41497
185,354.18,390.84,242.52,4480
186,347.98,198.24,159.31,15836
187,490.67,247.63,102.5,30881
188,385.13,194.2,56.43,8730
189,334.39,272.17,149.34,10137
191,363.42,289.46,77.73,39249
192,446.28,393.56,139.17,14186
193,354.18,390.84,242.52,4480
194,381.15,332.9,151.77,183615
195,333.99,167.2,83.59,8725
196,384.44,211.45,51.64,12775
197,327.28,257.01,190.36,2403
199,380.16,318.28,79.01,35226
200,450.25,380.22,141.64,16394
201,516.85,129.55,139.43,187540
202,363.56,269.51,245.47,56694
203,382.16,336.57,259.48,1835
204,386.65,205.48,55.36,9553
206,327.32,353.61,230.44,10953
207,329.52,282.44,271.63,1445
208,448.42,386.41,140.5,30580
209,396.57,272.28,242.49,24916
210,370.37,343.57,174.56,2743
211,338.59,117.36,106.55,37919
212,372.06,245.7,44.86,192408
214,358.59,254.76,191.46,16811
215,383.73,197.02,178.77,46672
216,468.05,386.31,162.14,15843
217,400.44,253.21,238.79,21680
218,398.35,191.35,170.18,47742
219,395.5,129.4,100.51,1205393
220,374.55,237.4,47.57,221171
222,327.1,368.67,262.64,4876
223,337.78,384.88,155.46,14377
224,467.77,377.91,161.09,18686
225,385.45,273.03,253.64,23324
226,374.26,340.07,122,54125
227,341.69,133.74,115.47,263656
228,374.51,237.82,45.34,41553
229,350.31,257.49,120.58,1169
230,326.95,385.89,252.25,5034
231,340.32,246.88,213.89,1505
232,473.97,357.74,169.99,21845
233,499.96,114.06,188,33437
234,548.83,196.43,187.67,17806
235,387.32,376.04,265.99,25872
236,373.01,240.22,46.62,37648
238,332.04,291.99,225.82,3244
239,378.79,221.36,145.18,102131
240,457.33,364.33,176.84,13233
241,461.15,79.41,176.4,51728
242,347.94,239.69,112.54,169370
243,506.4,164.71,174.38,8963
244,371.24,239.7,46.51,197561
246,394.66,254.77,201.59,24549
247,546.18,175.77,172.79,475336
248,461.57,360.09,176.81,14849
249,535.14,180.17,197.48,1260
250,349.88,201.11,121.67,50868
251,564.23,167.19,174.97,42550
252,529.21,151.64,175.71,42221
254,359.83,81.73,185.25,438428
255,376.55,230.73,138.66,18113
256,466.19,350.91,176.81,32331
257,425.04,106.71,211.78,12327
258,346.82,255.86,108.06,113164
259,480.43,350.9,192.04,6954
260,429.25,384.48,138.01,9079
262,419.03,248.73,149.31,78423
263,348.12,361.13,116.34,2205
264,381.13,218.78,76.78,247406
266,353.42,264.79,120.63,5338
267,362.97,250.87,90.42,1840
268,433.94,372.37,138.77,7572
269,487.2,105.37,215.06,9878
271,413.75,220.48,209.68,4297
272,335.89,354.43,118.83,2251
274,375.79,82.51,187.83,29856
275,347.27,237.08,114,194841
276,498.11,339.64,127.09,238208
278,447.34,333.13,149.24,218434
279,390.18,88.79,191.58,2052
280,359.79,249.5,232.59,1433
281,410.71,45.96,187.48,14351
283,362.67,314.67,219.6,332962
284,485.83,331.44,123.11,185655
286,334.23,374.96,135.51,5381
287,353.95,286.84,124.03,887
288,374.14,228.26,76.44,38590
289,540.52,200.9,186.99,66137
290,384.06,322.99,151.47,401769
291,491.14,329.95,134.33,225690
292,424.04,359.18,144.48,3048
294,368.11,159.01,200.68,309779
295,492.37,326.56,161.17,81525
296,337.59,140.13,123.99,40414
297,346.29,282.71,83.5,80201
298,409.67,362.72,122.87,18493
299,395.5,129.4,100.51,1205393
300,450.91,230.53,172.87,22618
302,358.11,115.8,203.12,129903
303,487.65,320.58,155.05,44837
304,340.55,165.09,79.35,22952
305,448.09,114.78,195.67,13172
306,346.29,282.71,83.5,80201
307,347.04,373.38,242.91,39927
308,439.49,104.21,176.42,36461
310,345.95,213.26,129.32,20100
311,500.72,322.51,171.67,24092
312,537.86,276.5,164.56,12164
313,370.82,197.6,202.53,1812509
314,515.38,278.45,132.61,13144
315,451.77,149.63,138.74,6991141
316,450.91,230.53,172.87,22618
318,335.29,279.35,236.2,814
319,470.2,351.73,156.54,63279
320,428.99,121.33,101.05,95070
321,448.13,254.33,174.67,1476
322,470.32,134.87,130.85,1908846
323,367.1,206.82,197.32,1082192
324,481.71,341.79,191.02,6085
325,420.59,213.08,187.78,4189
327,457.1,363.16,144,17151
328,458.18,247.45,83.58,52134
329,503.62,144.29,139.99,648418
330,372.75,92.16,177.61,3758
331,344.08,334.86,177.06,41712
332,361.5,353.77,134,52
333,332.36,243.86,102.55,5371
334,474.8,347.48,161.2,46128
335,534.23,252.21,177.65,9766
336,350.31,257.49,120.58,1169
337,414.35,105.45,129.95,220598
338,327.91,203,138.03,1111
339,377.16,135.93,218.38,416617
340,437.23,110.89,176.1,13251
342,407.94,336.27,120.74,165544
343,377.56,272.29,202.23,6184792
344,524.15,281.68,132.24,18150
345,477.06,170.67,102.63,155038
346,493.6,145.95,120.45,43052
347,336.43,349.23,139.56,7466
348,365.25,267.08,199.68,86016
350,375.97,263.78,226.78,1554
351,370.83,299.36,123.77,89722
352,381.13,218.78,76.78,247406
353,503.37,198.49,107.53,92384
354,384.04,327.22,251.99,1403888
355,530.64,283.79,131.23,70473
356,391.34,317.42,159.49,665
357,350.31,257.49,120.58,1169
358,364.88,253.47,226.73,3606
359,372.1,301.91,120,48657
360,344.98,252.6,87.11,5940
361,439.89,90.01,153.21,279045
362,349.06,229.53,152.62,53875
363,349.9,172.16,82.68,24374
364,382.87,319.55,167.64,3121
366,346.78,278.9,151.1,9733
367,369.29,296.35,128.23,41065
368,531.06,248.83,179.66,3989
369,453.63,127.27,121.88,348261
370,370.97,329.63,251.6,762162
371,478.79,333.81,194.15,1798
372,400.64,234.04,251.46,465
374,393.46,276.15,188.62,21230
375,450.68,192.57,175.79,822155
376,470.3,372.45,164.83,56374
377,467,134.6,214.27,6768
378,532.53,208.79,133.73,351661
379,327.48,364.92,243.23,20863
381,400.46,290.92,187.66,74450
382,454,179.76,178.97,483607
383,463.13,356.11,176.82,60413
384,350.31,257.49,120.58,1169
385,454.36,89.21,201.61,351648
386,416.72,308.11,252.5,278573
387,536.48,269.67,197.83,416813
390,392.78,367.62,136.68,2010
391,449.73,190.3,180.28,123914
392,433.23,375.32,138.5,21737
393,464.97,138.86,212.35,890
394,410.38,68.43,187.38,99526
395,368.16,342.83,272.34,39731
398,393.06,366.24,218.26,48797
399,442.3,154.39,175.28,100975
400,487.05,384.84,162.01,31879
401,412.47,64.66,187.88,9539
402,503.9,108.55,188.03,114605
403,435.2,340.2,155.47,85287
406,388.3,254.36,177.09,16657
407,477.93,197.58,182.99,104881
408,487.41,393.54,161.68,12314
409,507.2,128.67,205.03,50223
411,434.36,338.28,149.41,36946
412,408.96,229.87,76.6,38821
413,350.31,257.49,120.58,1169
414,341.38,277.2,165.79,3680
415,448.73,175.77,177.58,153837
416,485.33,386.18,160.26,9044
418,429.36,360.31,155.5,21408
419,480.79,345.01,191.89,14890
421,524.63,111.23,205,5639
422,401.58,247.88,180.3,12977
423,441.18,161.06,166.12,38838
424,488.08,373.52,163.89,10521
425,480.67,117.37,215.01,37668
426,445.54,322.88,163.38,21951
427,546.48,202.11,198.35,60274
429,416.06,320.99,272.81,19501
430,350.26,95.09,182.86,42194
431,441.8,170.39,169.52,9004
432,361.5,353.77,134,52
433,409.77,73.95,187.12,26113
434,361.16,65.04,187.09,43464
435,420.42,344.28,165.5,4982
437,418.65,318.36,261.6,87272
438,450.87,154.58,165.31,10375
439,332.35,310.29,141.44,627
440,399.4,207.59,83,14880
441,405.67,94.26,186.62,6547
442,352.36,59.83,185.58,29468
444,346.06,237.55,153.21,75268
445,419.01,323.1,243.34,31067
446,445.09,160.56,165.96,6917
447,373.18,315.46,147.5,309
448,401.66,229.11,71.45,19010
450,468.1,95.98,120.16,35685
451,493.14,355.6,162.86,12596
452,330.15,319.45,116.05,7962
453,479.94,146.37,131.3,2260507
454,431.54,159.99,164.45,12542
455,357.11,311.29,146.55,1579
456,530.8,182.34,197.51,476
457,457.19,93.79,199.64,725071
458,408.55,379.11,101.83,58373
459,350.31,257.49,120.58,1169
460,370.7,218.64,224.68,4199
461,427.85,122.66,153.61,13191
462,362.67,314.67,219.6,332962
463,446.48,217.32,171.92,299710
464,342.96,318.63,144.5,292
465,404.72,373.97,102.96,54730
467,347.54,337.1,158.1,175388
468,502.76,325.48,200.46,944
469,420.9,104.83,206.47,908
470,403.87,301.47,165.48,12561
471,427.8,160.64,164.68,4168
472,437.44,325.32,163.27,9481
473,410.55,371.36,105.93,44764
475,431.61,221.65,187.27,36170
476,381.13,218.78,76.78,247406
477,426.04,271.22,122.69,2141755
478,407.82,129.73,130.96,55043
479,440.9,209.68,172.06,18574
480,449.97,323.18,162.92,5974
481,388.22,371.25,100.49,11261
483,335.96,191.59,154.29,12125
484,331.18,203.13,72.48,10880
485,443.78,241.98,126.31,1292245
486,448.53,215.61,169.54,106854
487,453.4,319.05,163.95,6496
488,377.79,195.53,87.49,47
489,352.33,306.35,103.58,1846
491,339.43,338.83,178.73,23076
492,381.13,218.78,76.78,247406
493,398.83,342.11,102.55,436235
494,371.35,156.89,188.34,26262
495,442.19,223.8,171.46,89536
496,331.24,247.29,89.07,4028
497,457.19,93.79,199.64,725071
498,365.65,300.27,117.09,16248
500,395.5,129.4,100.51,1205393
501,419.97,85.92,212.64,6814
502,465.49,224.2,195.07,299552
503,371.84,177.19,188.3,51206
504,450.79,217.08,175.93,80578
505,353.74,308.6,123.55,2436
506,350.31,257.49,120.58,1169
507,373.32,243.78,45.78,805686
508,503.43,321.08,200.5,780
509,419.52,141.8,189.08,82502
510,405.28,143.39,130.89,12129
511,344.84,168.43,189.67,12935
512,423.51,198.57,250.29,2832949
513,374,321.75,117.75,1112
515,343.3,355.32,126.64,12623
516,381.13,218.78,76.78,247406
517,514.67,340.78,184.8,59427
518,483.29,255.52,197.35,217047
519,403.9,223.47,250.99,76267
520,531.29,210.95,164.81,27049
521,359.75,325.68,122.9,3617
523,350.47,346.89,123.54,44904
524,335.01,211.72,76.15,4961
525,344.65,322.93,175.69,13468
526,490.47,263.5,215.07,39197
527,557.13,132.8,175.59,17549
528,425.41,195.17,250.39,2352899
529,368.61,338.95,126.62,4202
531,337.07,175.86,176.56,4962
532,459.12,69.34,176.65,28395
533,412.65,91.07,213.76,71401
534,399.42,265.14,226.67,7802
535,347.42,251.43,88.34,17477
536,462.38,312.29,148.62,65325
537,381.5,296.23,119.68,14291
538,350.31,257.49,120.58,1169
539,376.11,233.43,195.51,266298
540,570.63,259.4,177.97,16052
541,546.38,200.03,186.6,209481
542,343.07,93.06,183.34,51134
543,486.94,246.77,215.19,40003
544,465.2,319.85,148.23,26056
545,363.83,69.89,186.38,156032
546,387.2,288.06,119.63,797
548,362,231.24,167.74,46
549,383.93,236.14,157.86,998434
550,489.43,245.14,214.13,150679
551,474.64,296.18,155.27,10304
552,362.67,314.67,219.6,332962
554,380.88,268.46,119.77,3363
555,376.11,233.43,195.51,266298
556,346.71,224.27,86.72,27381
557,354.54,353.47,171.7,2425
558,531.85,186.83,107.62,11008
559,455.4,311.21,146.6,28965
560,446.35,272.38,232.85,2541
561,457.19,93.79,199.64,725071
562,383.69,283.16,123.26,2591
564,332.91,285.17,110.28,29904
565,412.99,92.32,213.04,16072
566,514.67,340.78,184.8,59427
567,444.98,209.9,136.45,14433929
568,370.97,329.63,251.6,762162
569,365.04,265.64,121.88,226
571,335.55,263.75,142.48,76328
572,341.69,133.74,115.47,263656
573,509.91,125.37,205.26,5549
574,343.37,330.54,207.22,39054
575,369.45,212.37,156.96,12299
576,379.35,342.44,233.44,657
577,457.26,118.74,123.69,37065
578,364.04,290.61,127.64,21368
580,426.24,215.48,198.57,5205
581,337.69,221.88,128.52,11792
582,341.09,197.6,72.81,17228
583,474.37,257.84,112.86,54122
584,470.3,372.45,164.83,56374
585,374.08,308.79,129.31,15312
587,335.36,224.35,187.41,4183
588,328.92,139.1,122.07,41655
589,346.29,282.71,83.5,80201
590,366.25,96.82,184.03,40593
591,331.55,263.65,198.45,7231
592,463.13,356.11,176.82,60413
593,457.44,68.53,203.39,45771
594,382.12,302.1,127.95,2505
596,358.52,351.99,109.37,45137
597,346.29,282.71,83.5,80201
598,522.83,209.8,166.81,8019
599,334.55,258.56,153.3,18857
600,547.67,138.69,174.6,39985
601,491.43,125.25,188.66,18727
602,373.73,250.78,127.13,1654
604,337.37,276.08,230.64,6668
605,346.29,282.71,83.5,80201
606,344.8,94.14,181.89,20436
607,452.78,294.18,237.76,77841
608,386.61,237.35,87.69,17683
609,332.35,247.27,168.99,2703
610,365.08,70.83,186.02,49486
612,417.23,271.16,211.96,47941
613,502.76,133.95,205.08,14085
614,374.97,374.77,153.21,22193
615,367.1,206.82,197.32,1082192
